title,speaker,month,year,session,url,tags,excerpt
"Sustaining of General Authorities, Area Seventies, and General Officers",Dallin H. Oaks,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/11oaks?lang=eng,,
"Church Auditing Department Report, 2024",Jared B. Larson,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/12larson?lang=eng,,
As a Little Child,Jeffrey R. Holland Acting,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/13holland?lang=eng,,
Spiritually Whole in Him,Camille N. Johnson,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/14johnson?lang=eng,,
Right Before Our Eyes,Ronald A. Rasband,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/15rasband?lang=eng,,
The Atonement of Jesus Christ Provides the Ultimate Rescue,Quentin L. Cook,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/16cook?lang=eng,,
My Love for the Savior Is My Why,Ricardo P. Gimnez,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/17gimenez?lang=eng,,
Draw Near unto Me,Henry B. Eyring,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/18eyring?lang=eng,,
Cherishing Life,Neil L. Andersen,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/21andersen?lang=eng,,
"Divine Authority, Sublime Young Men",Steven J. Lund,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/22lund?lang=eng,,
Return unto Me That I May Heal You,S. Mark Palmer,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/23palmer?lang=eng,,
Faith: A Bond of Trust and Loyalty,Sandino Roman,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/24roman?lang=eng,,
Personal Preparation to Meet the Savior,Dale G. Renlund,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/25renlund?lang=eng,,
True to the Faith That Our Parents Have Cherished,Hans T. Boom,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/26boom?lang=eng,,
By This All Will Know That You Are My Disciples,Dieter F. Uchtdorf,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/27uchtdorf?lang=eng,,
And We Talk of Christ,Gary E. Stevenson,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/31stevenson?lang=eng,,
Thou Art the Christ,Amy A. Wright,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/32wright?lang=eng,,
The Plan of Mercy,James R. Rasband,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/33rasband?lang=eng,,
Our Heavenly Guidance System,Sergio R. Vargas,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/34vargas?lang=eng,,
Worship,D. Todd Christofferson,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/35christofferson?lang=eng,,
The Times of Restitution of All Things,David A. Bednar,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng,,
Participate to Prepare for Christs Return,Steven D. Shumway,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/42shumway?lang=eng,,
Your Repentance Doesnt Burden Jesus Christ; It Brightens His Joy,Tamara W. Runia,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/43runia?lang=eng,,
Compensating Blessings,Bishop Grald Causs Presiding Bishop,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/44causse?lang=eng,,
"Eternitys Great Gifts: Jesus Christs Atonement, Resurrection, Restoration",Gerrit W. Gong,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/45gong?lang=eng,,
Joy Through Covenant Discipleship,John A. McCune,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/46mccune?lang=eng,,
Divine Helps for Mortality,Dallin H. Oaks,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/47oaks?lang=eng,,
Reverence for Sacred Things,Ulisses Soares,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/51soares?lang=eng,,
Charitya Sign of True Discipleship,Michael B. Strong,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/52strong?lang=eng,,
Beware the Second Temptation,Scott D. Whiting,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/53whiting?lang=eng,,
Harden Not Your Heart,Christopher H. Kim,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/54kim?lang=eng,,
Receive His Gift,Patrick Kearon,April,2025,,https://www.churchofjesuschrist.org/study/general-conference/2025/04/55kearon?lang=eng,,
